,q
average:,0.7193384074242769
average:,0.979090690256199
average:,0.6764732690878082
average:,0.9013254635130439
average:,0.9095986506799741
average:,0.7000092240806349
average:,0.8604362023660034
average:,0.9233607675783796
average:,0.8922137022570542
average:,0.3718961502162774
average:,0.7927069652536668
average:,0.673884870974524
average:,0.9593142851294875
average:,0.6428352073926716
average:,0.5814790012832634
average:,0.9624874601633506
average:,0.9960815908157641
average:,0.6540398598920852
average:,0.5223210547866142
average:,0.9984393715336876
average:,0.6020068095468197
average:,0.9909446238638606
average:,0.9050588030237269
average:,0.9820734262234413
average:,0.9865335817592451
average:,0.9877828953623186
average:,0.9881036281186089
average:,0.8762010981216134
average:,0.9516181339771431
average:,0.9901017544475831
average:,0.9950966835719472
average:,0.891191661720285
average:,0.7577862821315247
average:,0.983715891709376
average:,0.9005585289049802
average:,0.9888704420921333
average:,0.6828262885709159
average:,0.9894313812788451
average:,0.9683482650808175
average:,0.23202341260604067
average:,0.9751315123534737
average:,0.5754545897106935
average:,0.7109158038094046
average:,0.9086190494255318
average:,0.21343183611449912
average:,0.9447362430765491
average:,0.8306487220786324
average:,0.9483979361078412
average:,0.7909492218010431
average:,0.4321328481350742
average:,0.5467662834529623
average:,0.7906097146729106
average:,0.9874237775242933
average:,0.5304457047534159
average:,0.9119741918046047
average:,0.7038189857448429
average:,0.24990825453562138
average:,0.9497938170365626
average:,0.8754286818768744
average:,0.928893865542021
average:,0.9003892527816877
average:,0.09622228883771086
average:,0.9793555745227491
average:,0.9905750747814425
average:,0.9702362426155345
average:,0.6726968254073601
average:,0.8630227423610176
average:,0.9120387440926743
average:,0.8557285087708375
average:,0.9615001097947502
average:,0.8900178644900947
average:,0.9925443530393852
average:,0.6843051821848384
average:,0.9936497211202986
average:,0.21760362942410721
average:,0.9348620196627506
average:,0.5752912774012376
average:,0.7784449379372059
average:,0.9897552726843982
average:,0.5834951278008453
average:,0.6854625950613744
average:,0.920132042257167
average:,0.9374179843990199
average:,0.9589361560135887
average:,0.7411863231790541
average:,0.9959498643559728
average:,0.9550849200519319
average:,0.29243619946444704
average:,0.4740102934884526
average:,0.9948831795789891
average:,0.8792142822713973
average:,0.9291303170328342
average:,0.6075756480039378
average:,0.9589775814795609
average:,0.9766578074616078
average:,0.9855323432653876
average:,0.9954424500323452
average:,0.8112366156299897
average:,0.5400497934500041
average:,0.9852010611489652
average:,0.33697573465889674
average:,0.33697573465889674
average:,0.33697573465889674
average:,0.15659088467789606
average:,0.056445604131632916
average:,0.15019207752596797
average:,0.006952584917596227
average:,0.9237054572694219
average:,0.058415238516407134
average:,0.13009923182155236
average:,0.04916930449474381
average:,0.1404566118505281
average:,0.28796112502857446
average:,0.44660520642241214
average:,0.2892029197564269
average:,0.6180341261832207
average:,0.7372462682900157
average:,0.4479687772775388
average:,0.6378310844017381
average:,0.01111435858041752
average:,0.09984464484827024
average:,0.07418178962286465
average:,0.8608250636885656
average:,0.052396712485400496
average:,0.1026747709052945
average:,0.017807122569710673
average:,0.08200346892594809
average:,0.2743807876558819
average:,0.08608794384303052
average:,0.1951038879583365
average:,0.12598179813391047
average:,0.2953931172826219
average:,0.653094834953578
average:,0.013441322622636824
average:,0.3664899499630435
average:,0.26396088227686676
average:,0.24432511438055157
average:,0.48686630429808575
average:,0.5170060247235186
average:,0.6348240381697634
average:,0.09440839277494043
average:,0.21772342909638007
average:,0.3537906294593238
average:,0.12572009284240185
average:,0.1074684803848438
average:,0.76244019659514
average:,0.12055157670984894
average:,0.11366808977626519
average:,0.23129553930636768
average:,0.3931337115155249
average:,0.06048345930876433
average:,0.037373425407225526
average:,0.006500958169777292
average:,0.05293458930053786
average:,0.21635263304342212
average:,0.294094134874709
average:,0.19873005336893182
average:,0.7336275054070542
average:,0.20724546914943176
average:,0.06048304111917764
average:,0.10755522185242698
average:,0.8773653540888163
average:,0.21902448879653216
average:,0.836405511744783
average:,0.4646000382610409
average:,0.9841740126282567
average:,0.7670234552035754
average:,0.06910544425651878
average:,0.31776743533227125
average:,0.1675107486211228
average:,0.2983795421955292
average:,0.21406697292586674
average:,0.17383056804903915
average:,0.009357037286295016
average:,0.24513989593797883
average:,0.29129092476017665
average:,0.3207067096848708
average:,0.3149355067544332
average:,0.04894161237936408
average:,0.014952303372397382
average:,0.1302908784273292
average:,0.16956412711068977
average:,0.02261191568803658
average:,0.6366638509447579
average:,0.5688326901252768
average:,0.13116282304973662
average:,0.020598291569988877
average:,0.179975321340937
average:,0.08153171283887263
average:,0.1433405939324864
average:,0.1819431232156473
average:,0.5655753664117207
average:,0.1614538526608642
average:,0.07509857211983871
average:,0.9095871433421424
average:,0.1077621558472645
average:,0.27255695315144485
average:,0.4174633507117297
average:,0.12186926304939884
average:,0.7677972365041067
average:,0.13639313765944802
average:,0.8614391070425844
average:,0.48793172924244815
average:,0.33697573465889674
average:,0.15659088467789606
average:,0.056445604131632916
average:,0.15019207752596797
average:,0.006952584917596227
average:,0.9237054572694219
average:,0.058415238516407134
average:,0.13009923182155236
average:,0.04916930449474381
average:,0.1404566118505281
average:,0.28796112502857446
average:,0.44660520642241214
average:,0.2892029197564269
average:,0.6180341261832207
average:,0.7372462682900157
average:,0.4479687772775388
average:,0.6378310844017381
average:,0.01111435858041752
average:,0.09984464484827024
average:,0.07418178962286465
average:,0.8608250636885656
average:,0.052396712485400496
average:,0.1026747709052945
average:,0.017807122569710673
average:,0.08200346892594809
average:,0.2743807876558819
average:,0.08608794384303052
average:,0.1951038879583365
average:,0.12598179813391047
average:,0.2953931172826219
average:,0.653094834953578
average:,0.013441322622636824
average:,0.3664899499630435
average:,0.26396088227686676
average:,0.24432511438055157
average:,0.48686630429808575
average:,0.5170060247235186
average:,0.6348240381697634
average:,0.09440839277494043
average:,0.21772342909638007
average:,0.3537906294593238
average:,0.12572009284240185
average:,0.1074684803848438
average:,0.76244019659514
average:,0.12055157670984894
average:,0.11366808977626519
average:,0.23129553930636768
average:,0.3931337115155249
average:,0.06048345930876433
average:,0.037373425407225526
average:,0.006500958169777292
average:,0.05293458930053786
average:,0.21635263304342212
average:,0.294094134874709
average:,0.19873005336893182
average:,0.7336275054070542
average:,0.20724546914943176
average:,0.06048304111917764
average:,0.10755522185242698
average:,0.8773653540888163
average:,0.21902448879653216
average:,0.836405511744783
average:,0.4646000382610409
average:,0.9841740126282567
average:,0.7670234552035754
average:,0.06910544425651878
average:,0.31776743533227125
average:,0.1675107486211228
average:,0.2983795421955292
average:,0.21406697292586674
average:,0.17383056804903915
average:,0.009357037286295016
average:,0.24513989593797883
average:,0.29129092476017665
average:,0.3207067096848708
average:,0.3149355067544332
average:,0.04894161237936408
average:,0.014952303372397382
average:,0.1302908784273292
average:,0.16956412711068977
average:,0.02261191568803658
average:,0.6366638509447579
average:,0.5688326901252768
average:,0.13116282304973662
average:,0.020598291569988877
average:,0.179975321340937
average:,0.08153171283887263
average:,0.1433405939324864
average:,0.1819431232156473
average:,0.5655753664117207
average:,0.1614538526608642
average:,0.07509857211983871
average:,0.9095871433421424
average:,0.1077621558472645
average:,0.27255695315144485
average:,0.4174633507117297
average:,0.12186926304939884
average:,0.7677972365041067
average:,0.13639313765944802
average:,0.8614391070425844
average:,0.48793172924244815
average:,0.933699669009443
average:,0.9856384990813261
average:,0.7374128102405495
average:,0.275026857804886
average:,0.9483010186902299
average:,0.8235510537510606
average:,0.9775787598771406
average:,0.24502271069236137
average:,0.9508513820260952
average:,0.5659165226290138
average:,0.8831875333840702
average:,0.91061169031527
average:,0.6901765418789094
average:,0.892807482520547
average:,0.9884299634294756
average:,0.9803329714132566
average:,0.9354708217537556
average:,0.3723181559914462
average:,0.984844089005623
average:,0.510286615913287
average:,0.9275187873469495
average:,0.5932977110185476
average:,0.9162607810143027
average:,0.795540983204457
average:,0.8636202851743202
average:,0.6549127046265776
average:,0.9950782060822649
average:,0.8852761982746209
average:,0.8084634595118372
average:,0.8259547971037221
average:,0.9819546343170843
average:,0.4704706210882634
average:,0.5271544445622345
average:,0.9052426821612328
average:,0.8979298485232775
average:,0.9874989391949245
average:,0.7020558628141262
average:,0.848681389324673
average:,0.783340927690859
average:,0.9546620246096006
average:,0.7262364552360498
average:,0.32703937307815234
average:,0.5128050963825878
average:,0.994149983062058
average:,0.4884093893776138
average:,0.760330202850028
average:,0.1524024086375364
average:,0.9562133554550324
average:,0.9645777941245597
average:,0.9949914217052905
average:,0.39602863632521634
average:,0.8760198416229141
average:,0.9217280182479517
average:,0.7834560288641097
average:,0.7121545169515632
average:,0.846186993096596
average:,0.14499807632256426
average:,0.8206763296510893
average:,0.8469063617699943
average:,0.840145581856663
average:,0.9429875027572303
average:,0.41847466424622354
average:,0.1595780325246653
average:,0.8167129757099928
average:,0.8220729836141178
average:,0.5250898747281156
average:,0.6784365169739542
average:,0.6469976892748363
average:,0.7138663438623221
average:,0.9929990172631562
average:,0.8828104728805836
average:,0.9464474320930808
average:,0.4901217221218268
average:,0.9716898196582819
average:,0.9060535417098394
average:,0.36218692245566547
average:,0.7783620274577637
average:,0.9872100354649619
average:,0.17524254363434452
average:,0.6535091352902821
average:,0.9679198862781648
average:,0.3558832821375205
average:,0.9835899465332514
average:,0.855404316156845
average:,0.3490469336861029
average:,0.19296706025423951
average:,0.778270543881849
average:,0.3810581547187509
average:,0.45391022725283003
average:,0.8466873719277246
average:,0.7302113716724512
average:,0.6226016302643436
average:,0.27054824027601976
average:,0.7829313234189056
average:,0.649353256686494
average:,0.2966402617870073
average:,0.1195305066059202
average:,0.6860816499802769
average:,0.7239732833781717
average:,0.33697573465889674
average:,0.15659088467789606
average:,0.056445604131632916
average:,0.15019207752596797
average:,0.006952584917596227
average:,0.9237054572694219
average:,0.058415238516407134
average:,0.13009923182155236
average:,0.04916930449474381
average:,0.1404566118505281
average:,0.28796112502857446
average:,0.44660520642241214
average:,0.2892029197564269
average:,0.6180341261832207
average:,0.7372462682900157
average:,0.4479687772775388
average:,0.6378310844017381
average:,0.01111435858041752
average:,0.09984464484827024
average:,0.07418178962286465
average:,0.8608250636885656
average:,0.052396712485400496
average:,0.1026747709052945
average:,0.017807122569710673
average:,0.08200346892594809
average:,0.2743807876558819
average:,0.08608794384303052
average:,0.1951038879583365
average:,0.12598179813391047
average:,0.2953931172826219
average:,0.653094834953578
average:,0.013441322622636824
average:,0.3664899499630435
average:,0.26396088227686676
average:,0.24432511438055157
average:,0.48686630429808575
average:,0.5170060247235186
average:,0.6348240381697634
average:,0.09440839277494043
average:,0.21772342909638007
average:,0.3537906294593238
average:,0.12572009284240185
average:,0.1074684803848438
average:,0.76244019659514
average:,0.12055157670984894
average:,0.11366808977626519
average:,0.23129553930636768
average:,0.3931337115155249
average:,0.06048345930876433
average:,0.037373425407225526
average:,0.006500958169777292
average:,0.05293458930053786
average:,0.21635263304342212
average:,0.294094134874709
average:,0.19873005336893182
average:,0.7336275054070542
average:,0.20724546914943176
average:,0.06048304111917764
average:,0.10755522185242698
average:,0.8773653540888163
average:,0.21902448879653216
average:,0.836405511744783
average:,0.4646000382610409
average:,0.9841740126282567
average:,0.7670234552035754
average:,0.06910544425651878
average:,0.31776743533227125
average:,0.1675107486211228
average:,0.2983795421955292
average:,0.21406697292586674
average:,0.17383056804903915
average:,0.009357037286295016
average:,0.24513989593797883
average:,0.29129092476017665
average:,0.3207067096848708
average:,0.3149355067544332
average:,0.04894161237936408
average:,0.014952303372397382
average:,0.1302908784273292
average:,0.16956412711068977
average:,0.02261191568803658
average:,0.6366638509447579
average:,0.5688326901252768
average:,0.13116282304973662
average:,0.020598291569988877
average:,0.179975321340937
average:,0.08153171283887263
average:,0.1433405939324864
average:,0.1819431232156473
average:,0.5655753664117207
average:,0.1614538526608642
average:,0.07509857211983871
average:,0.9095871433421424
average:,0.1077621558472645
average:,0.27255695315144485
average:,0.4174633507117297
average:,0.12186926304939884
average:,0.7677972365041067
average:,0.13639313765944802
average:,0.8614391070425844
average:,0.48793172924244815
average:,0.933699669009443
average:,0.9856384990813261
average:,0.7374128102405495
average:,0.275026857804886
average:,0.9483010186902299
average:,0.8235510537510606
average:,0.9775787598771406
average:,0.24502271069236137
average:,0.9508513820260952
average:,0.5659165226290138
average:,0.8831875333840702
average:,0.91061169031527
average:,0.6901765418789094
average:,0.892807482520547
average:,0.9884299634294756
average:,0.9803329714132566
average:,0.9354708217537556
average:,0.3723181559914462
average:,0.984844089005623
average:,0.510286615913287
average:,0.9275187873469495
average:,0.5932977110185476
average:,0.9162607810143027
average:,0.795540983204457
average:,0.8636202851743202
average:,0.6549127046265776
average:,0.9950782060822649
average:,0.8852761982746209
average:,0.8084634595118372
average:,0.8259547971037221
average:,0.9819546343170843
average:,0.4704706210882634
average:,0.5271544445622345
average:,0.9052426821612328
average:,0.8979298485232775
average:,0.9874989391949245
average:,0.7020558628141262
average:,0.848681389324673
average:,0.783340927690859
average:,0.9546620246096006
average:,0.7262364552360498
average:,0.32703937307815234
average:,0.5128050963825878
average:,0.994149983062058
average:,0.4884093893776138
average:,0.760330202850028
average:,0.1524024086375364
average:,0.9562133554550324
average:,0.9645777941245597
average:,0.9949914217052905
average:,0.39602863632521634
average:,0.8760198416229141
average:,0.9217280182479517
average:,0.7834560288641097
average:,0.7121545169515632
average:,0.846186993096596
average:,0.14499807632256426
average:,0.8206763296510893
average:,0.8469063617699943
average:,0.840145581856663
average:,0.9429875027572303
average:,0.41847466424622354
average:,0.1595780325246653
average:,0.8167129757099928
average:,0.8220729836141178
average:,0.5250898747281156
average:,0.6784365169739542
average:,0.6469976892748363
average:,0.7138663438623221
average:,0.9929990172631562
average:,0.8828104728805836
average:,0.9464474320930808
average:,0.4901217221218268
average:,0.9716898196582819
average:,0.9060535417098394
average:,0.36218692245566547
average:,0.7783620274577637
average:,0.9872100354649619
average:,0.17524254363434452
average:,0.6535091352902821
